phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
20432	Ongoing behavioural or miscellanous addiction	binary	phesant	1588	359606	826	762	20432_0|| CAT-SINGLE || Inc(>=10): 0(826) || Inc(>=10): 1(762) || CAT-SINGLE-BINARY || sample 826/762(1588) ||	Question asked: "Are these addictions ongoing?" Question was asked when ~F20431~ was Yes.
20435	Difficulty concentrating during worst depression	binary	phesant	58750	302444	12472	46278	20435_0|| CAT-SINGLE || Inc(>=10): 1(46278) || Inc(>=10): 0(12472) || CAT-SINGLE-BINARY || sample 12472/46278(58750) ||	Question asked: "Did you have a lot more trouble concentrating than usual?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20436	Fraction of day affected during worst episode of depression	ordinal	phesant	62464	298730	NA	NA	20436_0|| CAT-SINGLE || Inc(>=10): 3(30089) || Inc(>=10): 2(8765) || Inc(>=10): 4(15468) || Inc(>=10): 1(8142) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	Question asked: "How much of the day did these feelings usually last?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20437	Thoughts of death during worst depression	binary	phesant	62648	298546	30018	32630	20437_0|| CAT-SINGLE || Inc(>=10): 1(32630) || Inc(>=10): 0(30018) || CAT-SINGLE-BINARY || sample 30018/32630(62648) ||	Question asked: "Did you think a lot about death - either your own, someone else's or death in general?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20438	Duration of worst depression	ordinal	phesant	65546	295648	NA	NA	20438_0|| CAT-SINGLE || Inc(>=10): 3(11848) || Inc(>=10): 6(6209) || Inc(>=10): 2(20323) || Inc(>=10): 4(10157) || Inc(>=10): 5(7081) || Inc(>=10): 1(9928) || ordered || CAT-ORD || order: 1|2|3|4|5|6 || num categories: 6 ||	Question asked: "About how long altogether did you feel this way? Count the time before, during and after the worst two weeks." Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20439	Frequency of depressed days during worst episode of depression	ordinal	phesant	64524	296670	NA	NA	20439_0|| CAT-SINGLE || Inc(>=10): 2(33047) || Inc(>=10): 3(24878) || Inc(>=10): 1(6599) || ordered || CAT-ORD || order: 1|2|3 || num categories: 3 ||	Question asked: "Did you feel this way" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20440	Impact on normal roles during worst period of depression	ordinal	phesant	66429	294765	NA	NA	20440_0|| CAT-SINGLE || Inc(>=10): 1(18022) || Inc(>=10): 3(20754) || Inc(>=10): 2(23011) || Inc(>=10): 0(4642) || ordered || CAT-ORD || order: 0|1|2|3 || num categories: 4 ||	Question asked: "Think about your roles at the time of this episode, including study / employment, childcare and housework, leisure pursuits. How much did these problems interfere with your life or activities?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20445	Depression possibly related to childbirth	binary	phesant	38007	323187	33173	4834	20445_0|| CAT-SINGLE || Inc(>=10): 0(33173) || Inc(>=10): 1(4834) || CAT-SINGLE-BINARY || sample 33173/4834(38007) ||	Question asked: "Did this episode occur within months of giving birth? Or has it been suggested you had post-natal depression?" Question was asked for women (only) when ~F20446~ was Yes or ~F20441~ was Yes.
20446	Ever had prolonged feelings of sadness or depression	binary	phesant	117763	243431	53389	64374	20446_0|| CAT-SINGLE || Inc(>=10): 1(64374) || Inc(>=10): 0(53389) || CAT-SINGLE-BINARY || sample 53389/64374(117763) ||	Question asked: "Have you ever had a time in your life when you felt sad, blue, or depressed for two weeks or more in a row?"
20447	Depression possibly related to stressful or traumatic event	binary	phesant	66334	294860	17844	48490	20447_0|| CAT-SINGLE || Inc(>=10): 1(48490) || Inc(>=10): 0(17844) || CAT-SINGLE-BINARY || sample 17844/48490(66334) ||	Question asked: "Did this worst period start within two months of the death of someone close to you or after a stressful or traumatic event in your life?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20448	Professional informed about depression	binary	phesant	66302	294892	23574	42728	20448_0|| CAT-SINGLE || Inc(>=10): 1(42728) || Inc(>=10): 0(23574) || CAT-SINGLE-BINARY || sample 23574/42728(66302) ||	Question asked: "Did you ever tell a professional about these problems (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional)?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20449	Feelings of tiredness during worst episode of depression	binary	phesant	59774	301420	10822	48952	20449_0|| CAT-SINGLE || Inc(>=10): 1(48952) || Inc(>=10): 0(10822) || CAT-SINGLE-BINARY || sample 10822/48952(59774) ||	Question asked: "Did you feel more tired out or low on energy than is usual for you?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20450	Feelings of worthlessness during worst period of depression	binary	phesant	62128	299066	30535	31593	20450_0|| CAT-SINGLE || Inc(>=10): 0(30535) || Inc(>=10): 1(31593) || CAT-SINGLE-BINARY || sample 30535/31593(62128) ||	Question asked: "People sometimes feel down on themselves, no good, worthless. Did you feel this way?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20462	Distress caused by unusual or psychotic experiences	ordinal	phesant	5663	355531	NA	NA	20462_0|| CAT-SINGLE || Inc(>=10): 3(541) || Inc(>=10): 1(1760) || Inc(>=10): 4(686) || Inc(>=10): 0(1650) || Inc(>=10): 2(1026) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "How distressing did you find having any of these experiences (seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?" Question was asked when ~F20471~ was Yes or ~F20463~ was Yes or ~F20474~ was Yes or ~F20468~ was Yes.
20466	Ever prescribed a medication for unusual or psychotic experiences	binary	phesant	5777	355417	5135	642	20466_0|| CAT-SINGLE || Inc(>=10): 0(5135) || Inc(>=10): 1(642) || CAT-SINGLE-BINARY || sample 5135/642(5777) ||	Question asked: "Were you ever prescribed a medication by a health professional for any of these experiences (seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?" Question was asked when ~F20471~ was Yes or ~F20463~ was Yes or ~F20474~ was Yes or ~F20468~ was Yes.
20467	Frequency of unusual or psychotic experiences in past year	ordinal	phesant	5795	355399	NA	NA	20467_0|| CAT-SINGLE || Inc(>=10): 0(4210) || Inc(>=10): 1(1025) || Inc(>=10): 2(216) || Inc(>=10): 3(242) || Inc(>=10): 4(102) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "How often did any of these experiences happen in the past 1 year (seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?" Question was asked when ~F20471~ was Yes or ~F20463~ was Yes or ~F20474~ was Yes or ~F20468~ was Yes.
20477	Ever talked to a health professional about unusual or psychotic experiences	binary	phesant	5788	355406	4563	1225	20477_0|| CAT-SINGLE || Inc(>=10): 0(4563) || Inc(>=10): 1(1225) || CAT-SINGLE-BINARY || sample 4563/1225(5788) ||	Question asked: "Did you ever talk to a doctor, counsellor, psychiatrist or other health professional about any of these experiences (seeing a vision, hearing a voice, or believing that something strange was trying to communicate with you, or there was a plot against you)?" Question was asked when ~F20471~ was Yes or ~F20463~ was Yes or ~F20474~ was Yes or ~F20468~ was Yes.
20488	Physically abused by family as a child	ordinal	phesant	117838	243356	NA	NA	20488_0|| CAT-SINGLE || Inc(>=10): 1(12442) || Inc(>=10): 0(96302) || Inc(>=10): 2(7541) || Inc(>=10): 4(595) || Inc(>=10): 3(958) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "When I was growing up... People in my family hit me so hard that it left me with bruises or marks"
20493	Severity of problems due to mania or irritability	binary	phesant	26655	334539	18667	7988	20493_0|| CAT-SINGLE || Inc(>=10): 0(18667) || Inc(>=10): 1(7988) || CAT-SINGLE-BINARY || sample 18667/7988(26655) ||	Question asked: "How much of a problem have these "high" or "irritable" periods caused you?" Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
20495	Avoided activities or situations because of previous stressful experience in past month	ordinal	phesant	117868	243326	NA	NA	20495_0|| CAT-SINGLE || Inc(>=10): 0(93639) || Inc(>=10): 1(17657) || Inc(>=10): 2(3380) || Inc(>=10): 3(2458) || Inc(>=10): 4(734) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "Next is a list of problems and complaints that people sometimes have in response to such extremely stressful experiences. Please indicate how much you have been bothered by that problem in the past month: Avoiding activities or situations because they reminded you of a stressful experience?"
20497	Repeated disturbing thoughts of stressful experience in past month	ordinal	phesant	117900	243294	NA	NA	20497_0|| CAT-SINGLE || Inc(>=10): 0(85787) || Inc(>=10): 1(23628) || Inc(>=10): 2(4438) || Inc(>=10): 3(3277) || Inc(>=10): 4(770) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "Next is a list of problems and complaints that people sometimes have in response to such extremely stressful experiences. Please indicate how much you have been bothered by that problem in the past month: Repeated, disturbing memories, thoughts, or images of a stressful experience?"
20498	Felt very upset when reminded of stressful experience in past month	ordinal	phesant	117893	243301	NA	NA	20498_0|| CAT-SINGLE || Inc(>=10): 1(33132) || Inc(>=10): 0(73800) || Inc(>=10): 2(6210) || Inc(>=10): 3(3680) || Inc(>=10): 4(1071) || ordered || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Question asked: "Next is a list of problems and complaints that people sometimes have in response to such extremely stressful experiences. Please indicate how much you have been bothered by that problem in the past month: Feeling very upset when something reminded you of a stressful experience?"
20499	Ever sought or received professional help for mental distress	binary	phesant	117677	243517	71657	46020	20499_0|| CAT-SINGLE || Inc(>=10): 0(71657) || Inc(>=10): 1(46020) || CAT-SINGLE-BINARY || sample 71657/46020(117677) ||	Question asked: "In your life, did you seek or receive help from a professional (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional) for mental distress, psychological problems or unusual experiences?"
20500	Ever suffered mental distress preventing usual activities	binary	phesant	116527	244667	77846	38681	20500_0|| CAT-SINGLE || Inc(>=10): 0(77846) || Inc(>=10): 1(38681) || CAT-SINGLE-BINARY || sample 77846/38681(116527) ||	Question asked: "In your life, have you suffered from a period of mental distress that prevented you from doing your usual activities?"
20501	Ever had period of mania / excitability	binary	phesant	115338	245856	110522	4816	20501_0|| CAT-SINGLE || Inc(>=10): 0(110522) || Inc(>=10): 1(4816) || CAT-SINGLE-BINARY || sample 110522/4816(115338) ||	Question asked: "Have you ever had a period of time when you were feeling so good, "high", "excited", or "hyper" that other people thought you were not your normal self or you were so "hyper" that you got into trouble?"
20506	Recent feelings or nervousness or anxiety	ordinal	phesant	117594	243600	NA	NA	20506_0|| CAT-SINGLE || Inc(>=10): 2(28117) || Inc(>=10): 1(84133) || Inc(>=10): 3(2681) || Inc(>=10): 4(2663) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [anxiety symptoms] Feeling nervous, anxious or on edge"
2050	Frequency of depressed mood in last 2 weeks	ordinal	phesant	345957	15237	NA	NA	2050_0|| CAT-SINGLE || Inc(>=10): 1(266704) || Inc(>=10): 2(63814) || Inc(>=10): 4(6135) || Inc(>=10): 3(9304) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	ACE touchscreen question "Over the past two weeks, how often have you felt down, depressed or hopeless?" If the participant activated the Help button they were shown the message: Answer this question thinking about the past 2 weeks. If you are unsure, please provide an estimate or select Do not know. 
20510	Recent feelings of depression	ordinal	phesant	117656	243538	NA	NA	20510_0|| CAT-SINGLE || Inc(>=10): 1(91430) || Inc(>=10): 2(22258) || Inc(>=10): 3(2354) || Inc(>=10): 4(1614) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Feeling down, depressed, or hopeless"
20517	Trouble falling or staying asleep, or sleeping too much	ordinal	phesant	117822	243372	NA	NA	20517_0|| CAT-SINGLE || Inc(>=10): 2(40324) || Inc(>=10): 1(59769) || Inc(>=10): 3(8387) || Inc(>=10): 4(9342) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	Question asked: "Over the last 2 weeks, how often have you been bothered by any of the following problems? [depressive symptoms] Trouble falling or staying asleep, or sleeping too much"
20532	Did your sleep change?	binary	phesant	57086	304108	11546	45540	20532_0|| CAT-SINGLE || Inc(>=10): 1(45540) || Inc(>=10): 0(11546) || CAT-SINGLE-BINARY || sample 11546/45540(57086) ||	Question asked: "Did your sleep change?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20533	Trouble falling asleep	binary	phesant	45540	315654	11049	34491	20533_0|| CAT-SINGLE || Inc(>=10): 1(34491) || Inc(>=10): 0(11049) || CAT-SINGLE-BINARY || sample 11049/34491(45540) ||	Question asked: "Was that: [re sleep change] Trouble falling asleep" Question was asked when ~F20532~ was Yes.
20534	Sleeping too much	binary	phesant	45540	315654	36186	9354	20534_0|| CAT-SINGLE || Inc(>=10): 0(36186) || Inc(>=10): 1(9354) || CAT-SINGLE-BINARY || sample 36186/9354(45540) ||	Question asked: "Was that: [re sleep change] Sleeping too much" Question was asked when ~F20532~ was Yes.
20536_0	Weight change during worst episode of depression: Stayed about the same or was on a diet	binary	phesant	56571	304623	33590	22981	20536_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 0  || Inc(>=10): 0(22981) ||	Question asked: "Did you gain or lose weight without trying, or did you stay about the same weight?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20536_1	Weight change during worst episode of depression: Gained weight	binary	phesant	56571	304623	46863	9708	20536_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 1  || Inc(>=10): 1(9708) ||	Question asked: "Did you gain or lose weight without trying, or did you stay about the same weight?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20536_2	Weight change during worst episode of depression: Lost weight	binary	phesant	56571	304623	36258	20313	20536_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 2  || Inc(>=10): 2(20313) ||	Question asked: "Did you gain or lose weight without trying, or did you stay about the same weight?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20536_3	Weight change during worst episode of depression: Both gained and lost some weight during the episode	binary	phesant	56571	304623	53002	3569	20536_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 3  || Inc(>=10): 3(3569) ||	Question asked: "Did you gain or lose weight without trying, or did you stay about the same weight?" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20537	Frequency of difficulty controlling worry during worst period of anxiety	ordinal	phesant	36157	325037	NA	NA	20537_0|| CAT-SINGLE || Inc(>=10): 2(15928) || Inc(>=10): 3(15979) || Inc(>=10): 1(3739) || Inc(>=10): 0(511) || ordered || CAT-ORD || order: 0|1|2|3 || num categories: 4 ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. How often did you find it difficult to control your worry?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20538	Worried most days during period of worst anxiety	binary	phesant	35226	325968	4093	31133	20538_0|| CAT-SINGLE || Inc(>=10): 1(31133) || Inc(>=10): 0(4093) || CAT-SINGLE-BINARY || sample 4093/31133(35226) ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. Did you worry most days?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20539	Frequency of inability to stop worrying during worst period of anxiety	ordinal	phesant	36237	324957	NA	NA	20539_0|| CAT-SINGLE || Inc(>=10): 2(16188) || Inc(>=10): 3(15297) || Inc(>=10): 1(4208) || Inc(>=10): 0(544) || ordered || CAT-ORD || order: 0|1|2|3 || num categories: 4 ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. How often was your worry so strong that you couldn't put it out of your mind no matter how hard you tried?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20540	Multiple worries during worst period of anxiety	binary	phesant	35038	326156	8608	26430	20540_0|| CAT-SINGLE || Inc(>=10): 1(26430) || Inc(>=10): 0(8608) || CAT-SINGLE-BINARY || sample 8608/26430(35038) ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. Did you ever have different worries on your mind at the same time?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20541	Difficulty stopping worrying during worst period of anxiety	binary	phesant	35523	325671	2057	33466	20541_0|| CAT-SINGLE || Inc(>=10): 1(33466) || Inc(>=10): 0(2057) || CAT-SINGLE-BINARY || sample 2057/33466(35523) ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. Did you find it difficult to stop worrying?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20542	Stronger worrying (than other people) during period of worst anxiety	binary	phesant	25107	336087	4388	20719	20542_0|| CAT-SINGLE || Inc(>=10): 0(4388) || Inc(>=10): 1(20719) || CAT-SINGLE-BINARY || sample 4388/20719(25107) ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. During that period, was your worry stronger than in other people?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20543	Number of things worried about during worst period of anxiety	binary	phesant	35558	325636	19915	15643	20543_0|| CAT-SINGLE || Inc(>=10): 1(15643) || Inc(>=10): 2(19915) || CAT-SINGLE-BINARY || sample 15643/19915(35558) ||	Question asked: "Please think of the period in your life when you have felt worried, tense, anxious, or more worried than most people would in your situation. This could be in the past, or it could be continuing now. Did you usually worry about one particular thing, such as your job security or the failing health of a loved one, or more than one thing?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20544_10	Mental health problems ever diagnosed by a professional: Mania, hypomania, bipolar or manic-depression	binary	phesant	117708	243486	117104	604	20544_0 || CAT-MUL-BINARY-VAR 10 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 381 examples != 10 but with missing value (<0) || sample 117104/604(117708) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_11	Mental health problems ever diagnosed by a professional: Depression	binary	phesant	117782	243412	92695	25087	20544_0 || CAT-MUL-BINARY-VAR 11 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 307 examples != 11 but with missing value (<0) || sample 92695/25087(117782) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_12	Mental health problems ever diagnosed by a professional: Bulimia nervosa	binary	phesant	117706	243488	117332	374	20544_0 || CAT-MUL-BINARY-VAR 12 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 383 examples != 12 but with missing value (<0) || sample 117332/374(117706) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_13	Mental health problems ever diagnosed by a professional: Psychological over-eating or binge-eating	binary	phesant	117707	243487	117203	504	20544_0 || CAT-MUL-BINARY-VAR 13 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 382 examples != 13 but with missing value (<0) || sample 117203/504(117707) || SKIP_val:-819 < 0 ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_14	Mental health problems ever diagnosed by a professional: Autism, Asperger's or autistic spectrum disorder	binary	phesant	117707	243487	117541	166	20544_0 || CAT-MUL-BINARY-VAR 14 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 382 examples != 14 but with missing value (<0) || sample 117541/166(117707) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_15	Mental health problems ever diagnosed by a professional: Anxiety, nerves or generalized anxiety disorder	binary	phesant	117751	243443	101021	16730	20544_0 || CAT-MUL-BINARY-VAR 15 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 338 examples != 15 but with missing value (<0) || sample 101021/16730(117751) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_16	Mental health problems ever diagnosed by a professional: Anorexia nervosa	binary	phesant	117708	243486	117018	690	20544_0 || CAT-MUL-BINARY-VAR 16 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 381 examples != 16 but with missing value (<0) || sample 117018/690(117708) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_17	Mental health problems ever diagnosed by a professional: Agoraphobia	binary	phesant	117707	243487	117239	468	20544_0 || CAT-MUL-BINARY-VAR 17 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 382 examples != 17 but with missing value (<0) || sample 117239/468(117707) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_1	Mental health problems ever diagnosed by a professional: Social anxiety or social phobia	binary	phesant	117716	243478	116242	1474	20544_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 373 examples != 1 but with missing value (<0) || sample 116242/1474(117716) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_2	Mental health problems ever diagnosed by a professional: Schizophrenia	binary	phesant	117706	243488	117603	103	20544_0 || CAT-MUL-BINARY-VAR 2 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 383 examples != 2 but with missing value (<0) || sample 117603/103(117706) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_3	Mental health problems ever diagnosed by a professional: Any other type of psychosis or psychotic illness	binary	phesant	117707	243487	117257	450	20544_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 382 examples != 3 but with missing value (<0) || sample 117257/450(117707) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_4	Mental health problems ever diagnosed by a professional: A personality disorder	binary	phesant	117707	243487	117433	274	20544_0 || CAT-MUL-BINARY-VAR 4 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 382 examples != 4 but with missing value (<0) || sample 117433/274(117707) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_5	Mental health problems ever diagnosed by a professional: Any other phobia (eg disabling fear of heights or spiders)	binary	phesant	117710	243484	116119	1591	20544_0 || CAT-MUL-BINARY-VAR 5 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 379 examples != 5 but with missing value (<0) || sample 116119/1591(117710) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_6	Mental health problems ever diagnosed by a professional: Panic attacks	binary	phesant	117722	243472	111204	6518	20544_0 || CAT-MUL-BINARY-VAR 6 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 367 examples != 6 but with missing value (<0) || sample 111204/6518(117722) || SKIP_val:-818 < 0 ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20544_7	Mental health problems ever diagnosed by a professional: Obsessive compulsive disorder (OCD)	binary	phesant	117711	243483	116978	733	20544_0 || CAT-MUL-BINARY-VAR 7 || Indicator name x20400_0_0 || Remove indicator var NAs: 243105 || Removed 378 examples != 7 but with missing value (<0) || sample 116978/733(117711) ||	Question asked: "Have you been diagnosed with one or more of the following mental health problems by a professional, even if you don't have it currently? (tick all that apply):" Participant was offered a set of options which have been combined here into a single answer
20546_1	Substances taken for depression: Unprescribed medication (more than once)	binary	phesant	117763	243431	113652	4111	20546_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20446_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 303 || Removed 0 examples != 1 but with missing value (<0) || sample 113652/4111(117763) ||	Question asked: "Did you ever try the following for these problems? (tick all that apply)" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20546_3	Substances taken for depression: Medication prescribed to you (for at least two weeks)	binary	phesant	117763	243431	89412	28351	20546_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20446_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 303 || Removed 0 examples != 3 but with missing value (<0) || sample 89412/28351(117763) ||	Question asked: "Did you ever try the following for these problems? (tick all that apply)" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20546_4	Substances taken for depression: Drugs or alcohol (more than once)	binary	phesant	117763	243431	109136	8627	20546_0 || CAT-MUL-BINARY-VAR 4 || Indicator name x20446_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 303 || Removed 0 examples != 4 but with missing value (<0) || sample 109136/8627(117763) ||	Question asked: "Did you ever try the following for these problems? (tick all that apply)" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20547_1	Activities undertaken to treat depression: Talking therapies, such as psychotherapy, counselling, group therapy or CBT	binary	phesant	117763	243431	91803	25960	20547_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20446_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 303 || Removed 0 examples != 1 but with missing value (<0) || sample 91803/25960(117763) ||	Question asked: "Did you ever try talking therapies for these problems, or other structured activities you regard as therapeutic? Include only those you attended more than once." Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20547_3	Activities undertaken to treat depression: Other therapeutic activities such as mindfulness, yoga or art classes	binary	phesant	117763	243431	108564	9199	20547_0 || CAT-MUL-BINARY-VAR 3 || Indicator name x20446_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 303 || Removed 0 examples != 3 but with missing value (<0) || sample 108564/9199(117763) ||	Question asked: "Did you ever try talking therapies for these problems, or other structured activities you regard as therapeutic? Include only those you attended more than once." Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.
20548_1	Manifestations of mania or irritability: I was more talkative than usual	binary	phesant	114422	246772	108957	5465	20548_0 || CAT-MUL-BINARY-VAR 1 || Indicator name x20502_0_0 || Remove indicator var NAs: 243128 || Remove indicator var <0: 3644 || Removed 0 examples != 1 but with missing value (<0) || sample 108957/5465(114422) ||	Question asked: "Please try to remember a period when you were in a "high" or "irritable" state and select all of the following that apply:" Participant was offered a set of options which have been combined here into a single answer Question was asked when ~F20501~ was Yes or ~F20502~ was Yes.
